Name,ISO,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Sao Tome and Principe,STP,6064,2766.941,21,9.582,0,74,33.765,1,0.456,0
Saudi Arabia,SAU,798474,2293.551,3986,11.449,534,9215,26.469,8,0.023,3
Senegal,SEN,86411,516.074,106,0.633,12,1968,11.754,0,0,0
Serbia,SRB,2035878,29391.724,7396,106.775,1334,16138,232.982,13,0.188,3
Seychelles,SYC,45000,45756.353,213,216.58,0,167,169.807,0,0,0
Sierra Leone,SLE,7704,96.578,9,0.113,0,125,1.567,0,0,0
Singapore,SGP,1495953,25570.351,61390,1049.34,9989,1423,24.323,12,0.205,2
Sint Maarten,SXM,10601,24721.328,21,48.972,0,87,202.882,1,2.332,0
Slovakia,SVK,1799054,32962.548,3037,55.644,673,20154,369.265,7,0.128,2
Slovenia,SVN,1044765,49848.964,7027,335.28,1465,7828,373.498,1,0.048,0
Solomon Islands,SLB,21544,3136.483,0,0,0,153,22.275,0,0,0
Somalia,SOM,26803,168.644,0,0,0,1361,8.563,0,0,0
South Africa,ZAF,3996441,6738.373,2598,4.38,0,101859,171.744,66,0.111,0
South Sudan,SSD,17733,158.419,2,0.018,0,138,1.233,0,0,0
Spain,ESP,12890002,27232.812,155964,329.506,0,108259,228.72,353,0.746,0
Sri Lanka,LKA,664197,3101.804,74,0.346,0,16524,77.167,3,0.014,0
Sudan,SDN,62745,143.092,121,0.276,0,4952,11.293,1,0.002,0
Suriname,SUR,80890,13788.883,26,4.432,26,1376,234.559,7,1.193,7
Sweden,SWE,2519199,24392.905,714,6.914,0,19124,185.174,0,0,0
Switzerland,CHE,3787760,43765.768,28364,327.733,0,13329,154.01,4,0.046,0
Syrian Arab Republic,SYR,55940,319.645,14,0.08,3,3150,17.999,0,0,0
Tajikistan,TJK,17786,186.482,0,0,0,125,1.311,0,0,0
Thailand,THA,4538811,6502.597,15896,22.774,2366,30778,44.095,130,0.186,20
Timor-Leste,TLS,22965,1741.825,8,0.607,1,133,10.088,0,0,0
